FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG07194	HOG03280								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN11069, A. fumigatus Af293 : Afu5g03860, Neosartorya fischeri NRRL 181 : NFIA_038250, Aspergillus wentii : Aspwe1_0115239 and Aspergillus clavatus NRRL 1 : ACLA_001270
FOG07197	HOG03283	FMP23	FMP23						|added via ODB8		Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies		
FOG07199	HOG03285								|added via ODB8				Ortholog of A. oryzae RIB40 : AO090001000727, Aspergillus wentii : Aspwe1_0051702, Aspergillus sydowii : Aspsy1_0153604 and Aspergillus terreus NIH2624 : ATET_05604
FOG07201	HOG03287												Has domain(s) with predicted transferase activity, transferring phosphorus-containing groups activity
FOG07202	HOG03287								added via ODB8				Has domain(s) with predicted transferase activity, transferring phosphorus-containing groups activity
FOG07203	HOG03288											hydrolase (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG07204	HOG03288								added via ODB8				Has domain(s) with predicted hydrolase activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds activity
FOG07205	HOG03289				NUO assembly protein				Found by finding genes in yeasts with Complex, not in nfu,spo,scl				Ortholog(s) have role in mitochondrial respiratory chain complex I assembly
FOG07206	HOG03290								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5988, A. fumigatus Af293 : Afu2g10190, A. oryzae RIB40 : AO090011000617, Aspergillus wentii : Aspwe1_0045131 and Aspergillus sydowii : Aspsy1_0150906
FOG07209	HOG03293												Extracellular acidic protease; A4 family peptidase; expression increases by growth without ammonia; under carbon control and pH regulation|Ortholog(s) have endopeptidase activity, role in zymogen activation and extracellular region localization|Predicted aspartic-type endopeptidase; aspergillopepsin II|Aspergillopepsin II precursor
FOG07212	HOG03295	ROX1	ROX1						|added via ODB8		Heme-dependent repressor of hypoxic genes; mediates aerobic transcriptional repression of hypoxia induced genes such as COX5b and CYC7; repressor function regulated through decreased promoter occupancy in response to oxidative stress; contains an HMG domain that is responsible for DNA bending activity; involved in the hyperosmotic stress resistance		
FOG07213	HOG03296								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN1010, A. fumigatus Af293 : Afu1g12870, A. oryzae RIB40 : AO090012000621, Aspergillus wentii : Aspwe1_0027873 and Aspergillus sydowii : Aspsy1_0053360
FOG07214	HOG03297	LDB16	LDB16						|added via ODB8		Protein of unknown function; null mutants have decreased net negative cell surface charge; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; native protein is detected in purified mitochondria		
FOG07217	HOG03300											alpha-galactosidase, melibiase	Alpha-galactosidase|Putative alpha-galactosidase variant B; expression is induced on xylan; XlnR regulated|Alpha-galactosidase
FOG07218	HOG03300												Ortholog of Aspergillus carbonarius ITEM 5010 : Acar5010_031329|Alpha-galactosidase D
FOG07219	HOG03301	URB2	URB2								Protein required for normal metabolism of the rRNA primary transcript; nucleolar protein; proposed to be involved in ribosome biogenesis		Ortholog of A. nidulans FGSC A4 : AN0659, A. fumigatus Af293 : Afu1g13200, A. oryzae RIB40 : AO090012001040, Aspergillus wentii : Aspwe1_0051321 and Aspergillus sydowii : Aspsy1_0065853
FOG07220	HOG03302								|added via ODB8			THO complex subunit Tho7 (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG07221	HOG03303								|added via ODB8			transcription factor Esc1 (predicted)	
FOG07224	HOG03306	MNN11	MNN11								Subunit of a Golgi mannosyltransferase complex; this complex also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p, and mediates elongation of the polysaccharide mannan backbone; has homology to Mnn10p	alpha-1,2-galactosyltransferase (predicted)	Ortholog(s) have alpha-1,6-mannosyltransferase activity, role in N-glycan processing and alpha-1,6-mannosyltransferase complex, endoplasmic reticulum localization
FOG07225	HOG03306											alpha-1,2-galactosyltransferase Gma12|alpha-1,2-galactosyltransferase Gmh1 (predicted)|alpha-1,2-galactosyltransferase Gmh2 (predicted)|alpha-1,2-galactosyltransferase Gmh3|alpha-1,2-galactosyltransferase Gmh6	
FOG07226	HOG03307								|added via ODB8				Ortholog(s) have nitrate reductase (NADPH) activity and role in Mo-molybdopterin cofactor biosynthetic process
FOG07227	HOG03308								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN1940, A. fumigatus Af293 : Afu4g13200, A. oryzae RIB40 : AO090009000261, Aspergillus wentii : Aspwe1_0166484 and Aspergillus terreus NIH2624 : ATET_03203
FOG07228	HOG03309								|added via ODB8				Ortholog(s) have chromatin insulator sequence binding, transcription factor activity, core RNA polymerase III binding activity and role in transcription initiation from RNA polymerase III promoter
FOG07229	HOG03310	PET100	PET100								Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme		Ortholog(s) have unfolded protein binding activity, role in hyphal growth, mitochondrial respiratory chain complex IV assembly and integral component of mitochondrial inner membrane, plasma membrane localization
FOG07232	HOG03312	ECM15	ECM15								Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis		Ortholog(s) have cytoplasm, nucleus localization
FOG07234	HOG03313								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3724, A. fumigatus Af293 : Afu6g12460, A. oryzae RIB40 : AO090009000166, Aspergillus wentii : Aspwe1_0033694 and Aspergillus sydowii : Aspsy1_0044118
FOG07236	HOG03314								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3736, A. fumigatus Af293 : Afu6g12320, A. oryzae RIB40 : AO090009000187, Aspergillus wentii : Aspwe1_0144945 and Aspergillus sydowii : Aspsy1_0044136
FOG07239	HOG03317											cohesin loading factor Ssl3	Ortholog of Aspergillus versicolor : Aspve1_0054790 and Aspergillus sydowii : Aspsy1_0062687
FOG07240	HOG03318	TBF1	TBF1								Telobox-containing general regulatory factor; binds TTAGGG repeats within subtelomeric anti-silencing regions (STARs), blocking silent chromatin propagation; binds majority of snoRNA gene promoters, required for full snoRNA expression; caps DSB flanked by long T2AG3 repeats and blocks checkpoint activation	DNA binding factor Trf1	Ortholog(s) have double-stranded telomeric DNA binding activity, role in telomere maintenance and nuclear chromatin, nuclear chromosome, telomeric region localization
FOG07242	HOG03319	MPS3	MPS3								Nuclear envelope protein; required for SPB insertion, SPB duplication, Kar5p localization near the SPB and nuclear fusion; interacts with Mps2p to tether half-bridge to core SPB; N-terminal acetylation by Eco1p regulates its role in nuclear organization; localizes to the SPB half bridge and telomeres during meiosis; required with Ndj1p and Csm4p for meiotic bouquet formation and telomere-led rapid prophase movement; member of the SUN protein family (Sad1-UNC-84 homology)		
FOG07243	HOG03320	UBP15	UBP15								Ubiquitin-specific protease involved in protein deubiquitination; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; forms a complex with AAA peroxins Pex1p and Pex6p	ubiquitin C-terminal hydrolase Ubp15|ubiquitin C-terminal hydrolase Ubp5	Ortholog(s) have ubiquitin-specific protease activity, role in endocytosis, protein deubiquitination and cell division site, cytosol, nucleus, transport vesicle localization
FOG07244	HOG03320												Has domain(s) with predicted ubiquitinyl hydrolase activity and role in protein deubiquitination, ubiquitin-dependent protein catabolic process
FOG07245	HOG03321										Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies		
FOG07246	HOG03322								|added via ODB8			Smc5-6 complex non-SMC subunit Nse3	Ortholog(s) have role in double-strand break repair via homologous recombination and Smc5-Smc6 complex, nucleus localization
FOG07247	HOG03323										Putative protein of unknown function; predicted to be palmitoylated	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity implicated in DNA repair (predicted)	Protein of unknown function
FOG07248	HOG03323	CUE2	CUE2								Protein of unknown function; has two CUE domains that bind ubiquitin, which may facilitate intramolecular monoubiquitination		
FOG07253	HOG03326	ERO1	ERO1								Thiol oxidase required for oxidative protein folding in the ER; essential for maintaining proper redox balance in ER; feedback regulation of Ero1p occurs via reduction and oxidation of Ero1p regulatory bonds; reduced Pdi1p activates Ero1p by direct reduction of Ero1p regulatory bonds; depletion of thiol substrates and accumulation of oxidized Pdi1p results in inactivation of Ero1p by both Pdi1p-mediated oxidation and autonomous oxidation of Ero1p regulatory bonds	ER protein folding oxidoreductin Ero1b	Putative thiol oxidase; expression enhanced by maltose; expression induced by tunicamycin and DTT
FOG07254	HOG03326								added via ODB8			ER oxidoreductin Ero1a	
FOG07255	HOG03327	GSM1	GSM1						|added via ODB8		Putative zinc cluster protein of unknown function; proposed to be involved in the regulation of energy metabolism, based on patterns of expression and sequence analysis	transcription factor Pho7	
FOG07257	HOG03329								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4061, A. fumigatus Af293 : Afu1g05350, A. niger CBS 513.88 : An07g05870, A. oryzae RIB40 : AO090009000411 and Aspergillus wentii : Aspwe1_0037258|Ortholog of Aspergillus tubingensis : Asptu1_0128667, Aspergillus brasiliensis : Aspbr1_0661978 and Aspergillus acidus : Aspfo1_0715705
FOG07258	HOG03330	PET18	PET18								Protein of unknown function; has weak similarity to proteins involved in thiamin metabolism; expression is induced in the absence of thiamin		
FOG07260	HOG03331		FIT1;FIT3								Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall |Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 		
FOG07261	HOG03332								|added via ODB8				Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Ortholog of A. nidulans FGSC A4 : AN3356, AN0718, AN5052, AN5040, A. fumigatus Af293 : Afu1g14460, Afu3g01980, Afu3g12180, Afu8g06010 and A. niger CBS 513.88 : An14g06110, An18g00110, An02g00290, An02g13100, An06g00330|Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization|Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Protein of unknown function|Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
